palabra,nlet,acen,ace_i,ace_f,voc,v_op,v_cl,repet,cons,p_alin,p_cons,v_ini,v_fin,cont_e,cont_a,cont_o,cont_s,cont_r,cont_n,cont_j,cont_m,cont_k,cont_w,propio
a,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.0
aaronita,8,0,0,0,5,1,4,1,3,5,4,1,1,0,3,1,0,1,1,0,0,0,0,0.0
aarónico,8,1,1,0,5,1,4,1,3,5,4,1,1,0,2,1,0,1,1,0,0,0,0,0.0
aba,3,0,0,0,2,0,2,0,1,2,1,1,1,0,2,0,0,0,0,0,0,0,0,0.0
ababa,5,0,0,0,3,0,3,0,2,4,2,1,1,0,3,0,0,0,0,0,0,0,0,0.0
ababillarse,11,0,0,0,5,1,4,1,6,6,-9,1,1,1,3,0,1,1,0,0,0,0,0,0.0
ababol,6,0,0,0,3,0,3,0,3,5,-3,1,0,0,2,1,0,0,0,0,0,0,0,0.0
abacal,6,0,0,0,3,0,3,0,3,5,-3,1,0,0,3,0,0,0,0,0,0,0,0,0.0
abacalero,9,0,0,0,5,0,5,0,4,8,4,1,1,1,3,1,0,1,0,0,0,0,0,0.0
abacero,7,0,0,0,4,0,4,0,3,6,3,1,1,1,2,1,0,1,0,0,0,0,0,0.0
abacería,8,1,0,1,5,1,4,0,3,5,10,1,1,1,3,0,0,1,0,0,0,0,0,0.0
abacial,7,0,0,0,4,1,3,0,3,4,1,1,0,0,3,0,0,0,0,0,0,0,0,0.0
abacora,7,0,0,0,4,0,4,0,3,6,3,1,1,0,3,1,0,1,0,0,0,0,0,0.0
abacorar,8,0,0,0,4,0,4,0,4,7,-4,1,0,0,3,1,0,2,0,0,0,0,0,0.0
abacá,5,1,0,1,3,0,3,0,2,4,2,1,1,0,2,0,0,0,0,0,0,0,0,0.0
abad,4,0,0,0,2,0,2,0,2,3,-2,1,0,0,2,0,0,0,0,0,0,0,0,0.0
abada,5,0,0,0,3,0,3,0,2,4,2,1,1,0,3,0,0,0,0,0,0,0,0,0.0
abadejo,7,0,0,0,4,0,4,0,3,6,3,1,1,1,2,1,0,0,0,1,0,0,0,0.0
abadengo,8,0,0,0,4,0,4,0,4,5,-2,1,1,1,2,1,0,0,1,0,0,0,0,0.0
abadernar,9,0,0,0,4,0,4,0,5,6,-10,1,0,1,3,0,0,2,1,0,0,0,0,0.0
abadesa,7,0,0,0,4,0,4,0,3,6,3,1,1,1,3,0,1,0,0,0,0,0,0,0.0
abadiado,8,0,0,0,5,1,4,0,3,5,8,1,1,0,3,1,0,0,0,0,0,0,0,0.0
abadiato,8,0,0,0,5,1,4,0,3,5,8,1,1,0,3,1,0,0,0,0,0,0,0,0.0
abadí,5,1,0,1,3,1,2,0,2,4,2,1,1,0,2,0,0,0,0,0,0,0,0,0.0
abadía,6,1,0,1,4,1,3,0,2,3,7,1,1,0,3,0,0,0,0,0,0,0,0,0.0
abajadero,9,0,0,0,5,0,5,0,4,8,4,1,1,1,3,1,0,1,0,1,0,0,0,0.0
abajamiento,11,0,0,0,6,1,5,0,5,6,3,1,1,1,3,1,0,0,1,1,1,0,0,0.0
abajar,6,0,0,0,3,0,3,0,3,5,-3,1,0,0,3,0,0,1,0,1,0,0,0,0.0
abajera,7,0,0,0,4,0,4,0,3,6,3,1,1,1,3,0,0,1,0,1,0,0,0,0.0
abajeño,7,0,0,0,4,0,4,0,3,6,3,1,1,1,2,1,0,0,0,1,0,0,0,0.0
abajo,5,0,0,0,3,0,3,0,2,4,2,1,1,0,2,1,0,0,0,1,0,0,0,0.0
abalada,7,0,0,0,4,0,4,0,3,6,3,1,1,0,4,0,0,0,0,0,0,0,0,0.0
abalanzar,9,0,0,0,4,0,4,0,5,6,-10,1,0,0,4,0,0,1,1,0,0,0,0,0.0
abalar,6,0,0,0,3,0,3,0,3,5,-3,1,0,0,3,0,0,1,0,0,0,0,0,0.0
abalaustrado,12,0,0,0,6,1,5,0,6,5,-4,1,1,0,4,1,1,1,0,0,0,0,0,0.0
abaldonadamente,15,0,0,0,7,0,7,0,8,10,-9,1,1,2,4,1,0,0,2,0,1,0,0,0.0
abaldonamiento,14,0,0,0,7,1,6,0,7,7,1,1,1,1,3,2,0,0,2,0,1,0,0,0.0
abaldonar,9,0,0,0,4,0,4,0,5,6,-8,1,0,0,3,1,0,1,1,0,0,0,0,0.0
abaleador,9,0,0,0,5,0,5,0,4,6,0,1,0,1,3,1,0,1,0,0,0,0,0,0.0
abaleadura,10,0,0,0,6,1,5,0,4,7,9,1,1,1,4,0,0,1,0,0,0,0,0,0.0
abalear,7,0,0,0,4,0,4,0,3,4,1,1,0,1,3,0,0,1,0,0,0,0,0,0.0
abaleo,6,0,0,0,4,0,4,0,2,3,7,1,1,1,2,1,0,0,0,0,0,0,0,0.0
abalizamiento,13,0,0,0,7,2,5,0,6,8,4,1,1,1,3,1,0,0,1,0,1,0,0,0.0
abalizar,8,0,0,0,4,1,3,0,4,7,-4,1,0,0,3,0,0,1,0,0,0,0,0,0.0
aballar,7,0,0,0,3,0,3,1,4,4,-7,1,0,0,3,0,0,1,0,0,0,0,0,0.0
aballestar,10,0,0,0,4,0,4,1,6,5,-15,1,0,1,3,0,1,1,0,0,0,0,0,0.0
abalorio,8,0,0,0,5,1,4,0,3,5,10,1,1,0,2,2,0,1,0,0,0,0,0,0.0
abaluartar,10,0,0,0,5,1,4,0,5,5,-7,1,0,0,4,0,0,2,0,0,0,0,0,0.0
abanador,8,0,0,0,4,0,4,0,4,7,-4,1,0,0,3,1,0,1,1,0,0,0,0,0.0
abanar,6,0,0,0,3,0,3,0,3,5,-3,1,0,0,3,0,0,1,1,0,0,0,0,0.0
abancalar,9,0,0,0,4,0,4,0,5,6,-8,1,0,0,4,0,0,1,1,0,0,0,0,0.0
abanderado,10,0,0,0,5,0,5,0,5,7,1,1,1,1,3,1,0,1,1,0,0,0,0,0.0
abanderamiento,14,0,0,0,7,1,6,0,7,7,1,1,1,2,3,1,0,1,2,0,1,0,0,0.0
abanderar,9,0,0,0,4,0,4,0,5,6,-8,1,0,1,3,0,0,2,1,0,0,0,0,0.0
abanderizador,13,0,0,0,6,1,5,0,7,10,-10,1,0,1,3,1,0,2,1,0,0,0,0,0.0
abanderizar,11,0,0,0,5,1,4,0,6,8,-9,1,0,1,3,0,0,2,1,0,0,0,0,0.0
abandonado,10,0,0,0,5,0,5,0,5,7,1,1,1,0,3,2,0,0,2,0,0,0,0,0.0
abandonamiento,14,0,0,0,7,1,6,0,7,7,1,1,1,1,3,2,0,0,3,0,1,0,0,0.0
abandonar,9,0,0,0,4,0,4,0,5,6,-8,1,0,0,3,1,0,1,2,0,0,0,0,0.0
abandonismo,11,0,0,0,5,1,4,0,6,6,-7,1,1,0,2,2,1,0,2,0,1,0,0,0.0
abandonista,11,0,0,0,5,1,4,0,6,6,-7,1,1,0,3,1,1,0,2,0,0,0,0,0.0
abandono,8,0,0,0,4,0,4,0,4,5,0,1,1,0,2,2,0,0,2,0,0,0,0,0.0
abanear,7,0,0,0,4,0,4,0,3,4,1,1,0,1,3,0,0,1,1,0,0,0,0,0.0
abanicar,8,0,0,0,4,1,3,0,4,7,-4,1,0,0,3,0,0,1,1,0,0,0,0,0.0
abanicazo,9,0,0,0,5,1,4,0,4,8,4,1,1,0,3,1,0,0,1,0,0,0,0,0.0
abanico,7,0,0,0,4,1,3,0,3,6,3,1,1,0,2,1,0,0,1,0,0,0,0,0.0
abanillo,8,0,0,0,4,1,3,1,4,5,-2,1,1,0,2,1,0,0,1,0,0,0,0,0.0
abanino,7,0,0,0,4,1,3,0,3,6,3,1,1,0,2,1,0,0,2,0,0,0,0,0.0
abaniqueo,9,0,0,0,6,2,4,0,3,4,18,1,1,1,2,1,0,0,1,0,0,0,0,0.0
abaniquero,10,0,0,0,6,2,4,0,4,7,11,1,1,1,2,1,0,1,1,0,0,0,0,0.0
abaniquería,11,1,0,1,7,3,4,0,4,6,21,1,1,1,3,0,0,1,1,0,0,0,0,0.0
abano,5,0,0,0,3,0,3,0,2,4,2,1,1,0,2,1,0,0,1,0,0,0,0,0.0
abanto,6,0,0,0,3,0,3,0,3,3,-1,1,1,0,2,1,0,0,1,0,0,0,0,0.0
abarajar,8,0,0,0,4,0,4,0,4,7,-4,1,0,0,4,0,0,2,0,1,0,0,0,0.0
abaratamiento,13,0,0,0,7,1,6,0,6,8,4,1,1,1,4,1,0,1,1,0,1,0,0,0.0
abaratar,8,0,0,0,4,0,4,0,4,7,-4,1,0,0,4,0,0,2,0,0,0,0,0,0.0
abarañar,8,0,0,0,4,0,4,0,4,7,-4,1,0,0,4,0,0,2,0,0,0,0,0,0.0
abarbechar,10,0,0,0,4,0,4,0,6,5,-15,1,0,1,3,0,0,2,0,0,0,0,0,0.0
abarbetar,9,0,0,0,4,0,4,0,5,6,-8,1,0,1,3,0,0,2,0,0,0,0,0,0.0
abarca,6,0,0,0,3,0,3,0,3,3,-1,1,1,0,3,0,0,1,0,0,0,0,0,0.0
abarcable,9,0,0,0,4,0,4,0,5,4,-6,1,1,1,3,0,0,1,0,0,0,0,0,0.0
abarcado,8,0,0,0,4,0,4,0,4,5,0,1,1,0,3,1,0,1,0,0,0,0,0,0.0
abarcador,9,0,0,0,4,0,4,0,5,6,-8,1,0,0,3,1,0,2,0,0,0,0,0,0.0
abarcadura,10,0,0,0,5,1,4,0,5,7,1,1,1,0,4,0,0,2,0,0,0,0,0,0.0
abarcamiento,12,0,0,0,6,1,5,0,6,5,0,1,1,1,3,1,0,1,1,0,1,0,0,0.0
abarcar,7,0,0,0,3,0,3,0,4,4,-7,1,0,0,3,0,0,2,0,0,0,0,0,0.0
abarcuzar,9,0,0,0,4,1,3,0,5,6,-8,1,0,0,3,0,0,2,0,0,0,0,0,0.0
abarcón,7,1,0,1,3,0,3,0,4,4,-7,1,0,0,2,0,0,1,1,0,0,0,0,0.0
abareque,8,0,0,0,5,1,4,0,3,5,10,1,1,2,2,0,0,1,0,0,0,0,0,0.0
abaritonado,11,0,0,0,6,1,5,0,5,10,5,1,1,0,3,2,0,1,1,0,0,0,0,0.0
abarloar,8,0,0,0,4,0,4,0,4,3,-2,1,0,0,3,1,0,2,0,0,0,0,0,0.0
abarquero,9,0,0,0,5,1,4,0,4,4,6,1,1,1,2,1,0,2,0,0,0,0,0,0.0
abarquillado,12,0,0,0,6,2,4,1,6,5,0,1,1,0,3,1,0,1,0,0,0,0,0,0.0
abarquillamiento,16,0,0,0,8,3,5,1,8,5,0,1,1,1,3,1,0,1,1,0,1,0,0,0.0
abarquillar,11,0,0,0,5,2,3,1,6,4,-11,1,0,0,3,0,0,2,0,0,0,0,0,0.0
abarracar,9,0,0,0,4,0,4,1,5,6,-8,1,0,0,4,0,0,3,0,0,0,0,0,0.0
abarrado,8,0,0,0,4,0,4,1,4,5,0,1,1,0,3,1,0,2,0,0,0,0,0,0.0
abarraganamiento,16,0,0,0,8,1,7,1,8,9,2,1,1,1,5,1,0,2,2,0,1,0,0,0.0
abarraganarse,13,0,0,0,6,0,6,1,7,8,-8,1,1,1,5,0,1,3,1,0,0,0,0,0.0
abarrajado,10,0,0,0,5,0,5,1,5,7,1,1,1,0,4,1,0,2,0,1,0,0,0,0.0
abarrajar,9,0,0,0,4,0,4,1,5,6,-8,1,0,0,4,0,0,3,0,1,0,0,0,0.0
abarramiento,12,0,0,0,6,1,5,1,6,5,0,1,1,1,3,1,0,2,1,0,1,0,0,0.0
abarrancadero,13,0,0,0,6,0,6,1,7,8,-4,1,1,1,4,1,0,3,1,0,0,0,0,0.0
abarrancamiento,15,0,0,0,7,1,6,1,8,6,-5,1,1,1,4,1,0,2,2,0,1,0,0,0.0
abarrancar,10,0,0,0,4,0,4,1,6,5,-15,1,0,0,4,0,0,3,1,0,0,0,0,0.0
abarrar,7,0,0,0,3,0,3,1,4,4,-7,1,0,0,3,0,0,3,0,0,0,0,0,0.0
abarraz,7,0,0,0,3,0,3,1,4,4,-7,1,0,0,3,0,0,2,0,0,0,0,0,0.0
abarredera,10,0,0,0,5,0,5,1,5,7,1,1,1,2,3,0,0,3,0,0,0,0,0,0.0
abarrenar,9,0,0,0,4,0,4,1,5,6,-8,1,0,1,3,0,0,3,1,0,0,0,0,0.0
abarrer,7,0,0,0,3,0,3,1,4,4,-7,1,0,1,2,0,0,3,0,0,0,0,0,0.0
abarrisco,9,0,0,0,4,1,3,1,5,4,-6,1,1,0,2,1,1,2,0,0,0,0,0,0.0
abarrotar,9,0,0,0,4,0,4,1,5,6,-8,1,0,0,3,1,0,3,0,0,0,0,0,0.0
abarrote,8,0,0,0,4,0,4,1,4,5,0,1,1,1,2,1,0,2,0,0,0,0,0,0.0
abarrotero,10,0,0,0,5,0,5,1,5,7,1,1,1,1,2,2,0,3,0,0,0,0,0,0.0
abarrotería,11,1,0,1,6,1,5,1,5,6,11,1,1,1,3,1,0,3,0,0,0,0,0,0.0
abarse,6,0,0,0,3,0,3,0,3,3,-1,1,1,1,2,0,1,1,0,0,0,0,0,0.0
abastadamente,13,0,0,0,6,0,6,0,7,8,-8,1,1,2,4,0,1,0,1,0,1,0,0,0.0
abastamiento,12,0,0,0,6,1,5,0,6,5,0,1,1,1,3,1,1,0,1,0,1,0,0,0.0
abastante,9,0,0,0,4,0,4,0,5,4,-6,1,1,1,3,0,1,0,1,0,0,0,0,0.0
abastanza,9,0,0,0,4,0,4,0,5,4,-6,1,1,0,4,0,1,0,1,0,0,0,0,0.0
abastar,7,0,0,0,3,0,3,0,4,4,-7,1,0,0,3,0,1,1,0,0,0,0,0,0.0
abastardar,10,0,0,0,4,0,4,0,6,5,-15,1,0,0,4,0,1,2,0,0,0,0,0,0.0
abastecedor,11,0,0,0,5,0,5,0,6,8,-9,1,0,2,2,1,1,1,0,0,0,0,0,0.0
abastecer,9,0,0,0,4,0,4,0,5,6,-8,1,0,2,2,0,1,1,0,0,0,0,0,0.0
abastecimiento,14,0,0,0,7,2,5,0,7,7,1,1,1,2,2,1,1,0,1,0,1,0,0,0.0
abastero,8,0,0,0,4,0,4,0,4,5,0,1,1,1,2,1,1,1,0,0,0,0,0,0.0
abastimiento,12,0,0,0,6,2,4,0,6,5,0,1,1,1,2,1,1,0,1,0,1,0,0,0.0
abastionar,10,0,0,0,5,1,4,0,5,5,-3,1,0,0,3,1,1,1,1,0,0,0,0,0.0
abasto,6,0,0,0,3,0,3,0,3,3,-1,1,1,0,2,1,1,0,0,0,0,0,0,0.0
abasí,5,1,0,1,3,1,2,0,2,4,2,1,1,0,2,0,1,0,0,0,0,0,0,0.0
abatanado,9,0,0,0,5,0,5,0,4,8,4,1,1,0,4,1,0,0,1,0,0,0,0,0.0
abatanar,8,0,0,0,4,0,4,0,4,7,-4,1,0,0,4,0,0,1,1,0,0,0,0,0.0
abatatamiento,13,0,0,0,7,1,6,0,6,8,4,1,1,1,4,1,0,0,1,0,1,0,0,0.0
abatatar,8,0,0,0,4,0,4,0,4,7,-4,1,0,0,4,0,0,1,0,0,0,0,0,0.0
abate,5,0,0,0,3,0,3,0,2,4,2,1,1,1,2,0,0,0,0,0,0,0,0,0.0
abatible,8,0,0,0,4,1,3,0,4,5,-2,1,1,1,2,0,0,0,0,0,0,0,0,0.0
abatidero,9,0,0,0,5,1,4,0,4,8,4,1,1,1,2,1,0,1,0,0,0,0,0,0.0
abatido,7,0,0,0,4,1,3,0,3,6,3,1,1,0,2,1,0,0,0,0,0,0,0,0.0
abatidura,9,0,0,0,5,2,3,0,4,8,4,1,1,0,3,0,0,1,0,0,0,0,0,0.0
abatimiento,11,0,0,0,6,2,4,0,5,6,3,1,1,1,2,1,0,0,1,0,1,0,0,0.0
abatir,6,0,0,0,3,1,2,0,3,5,-3,1,0,0,2,0,0,1,0,0,0,0,0,0.0
abatismo,8,0,0,0,4,1,3,0,4,5,-2,1,1,0,2,1,1,0,0,0,1,0,0,0.0
abatojar,8,0,0,0,4,0,4,0,4,7,-4,1,0,0,3,1,0,1,0,1,0,0,0,0.0
abatí,5,1,0,1,3,1,2,0,2,4,2,1,1,0,2,0,0,0,0,0,0,0,0,0.0
abayado,7,0,0,0,4,0,4,0,3,6,3,1,1,0,3,1,0,0,0,0,0,0,0,0.0
abazón,6,1,0,1,3,0,3,0,3,5,-3,1,0,0,2,0,0,0,1,0,0,0,0,0.0
abañador,8,0,0,0,4,0,4,0,4,7,-4,1,0,0,3,1,0,1,0,0,0,0,0,0.0
abañadura,9,0,0,0,5,1,4,0,4,8,4,1,1,0,4,0,0,1,0,0,0,0,0,0.0
abañar,6,0,0,0,3,0,3,0,3,5,-3,1,0,0,3,0,0,1,0,0,0,0,0,0.0
abderitano,10,0,0,0,5,1,4,0,5,7,3,1,1,1,2,1,0,1,1,0,0,0,0,0.0
abdicación,10,1,0,1,5,2,3,0,5,5,1,1,0,0,2,0,0,0,1,0,0,0,0,0.0
abdicar,7,0,0,0,3,1,2,0,4,4,-5,1,0,0,2,0,0,1,0,0,0,0,0,0.0
abdicativamente,15,0,0,0,7,2,5,0,8,10,-7,1,1,2,3,0,0,0,1,0,1,0,0,0.0
abdicativo,10,0,0,0,5,2,3,0,5,7,3,1,1,0,2,1,0,0,0,0,0,0,0,0.0
abdomen,7,0,0,0,3,0,3,0,4,4,-5,1,0,1,1,1,0,0,1,0,1,0,0,0.0
abdominal,9,0,0,0,4,1,3,0,5,6,-6,1,0,0,2,1,0,0,1,0,1,0,0,0.0
abducción,9,1,0,1,4,2,2,1,5,2,-4,1,0,0,1,0,0,0,1,0,0,0,0,0.0
abductor,8,0,0,0,3,1,2,0,5,3,-10,1,0,0,1,1,0,1,0,0,0,0,0,0.0
abecedario,10,0,0,0,6,1,5,0,4,7,13,1,1,2,2,1,0,1,0,0,0,0,0,0.0
abecé,5,1,0,1,3,0,3,0,2,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0.0
abedul,6,0,0,0,3,1,2,0,3,5,-3,1,0,1,1,0,0,0,0,0,0,0,0,0.0
abeja,5,0,0,0,3,0,3,0,2,4,2,1,1,1,2,0,0,0,0,1,0,0,0,0.0
abejar,6,0,0,0,3,0,3,0,3,5,-3,1,0,1,2,0,0,1,0,1,0,0,0,0.0
abejarrón,9,1,0,1,4,0,4,1,5,6,-10,1,0,1,2,0,0,2,1,1,0,0,0,0.0
abejaruco,9,0,0,0,5,1,4,0,4,8,4,1,1,1,2,1,0,1,0,1,0,0,0,0.0
abejear,7,0,0,0,4,0,4,0,3,4,1,1,0,2,2,0,0,1,0,1,0,0,0,0.0
abejero,7,0,0,0,4,0,4,0,3,6,3,1,1,2,1,1,0,1,0,1,0,0,0,0.0
abejonear,9,0,0,0,5,0,5,0,4,6,2,1,0,2,2,1,0,1,1,1,0,0,0,0.0
abejoneo,8,0,0,0,5,0,5,0,3,5,10,1,1,2,1,2,0,0,1,1,0,0,0,0.0
abejorrear,10,0,0,0,5,0,5,1,5,5,-3,1,0,2,2,1,0,3,0,1,0,0,0,0.0
abejorreo,9,0,0,0,5,0,5,1,4,4,6,1,1,2,1,2,0,2,0,1,0,0,0,0.0
abejorro,8,0,0,0,4,0,4,1,4,5,-2,1,1,1,1,2,0,2,0,1,0,0,0,0.0
abejuno,7,0,0,0,4,1,3,0,3,6,3,1,1,1,1,1,0,0,1,1,0,0,0,0.0
abejón,6,1,0,1,3,0,3,0,3,5,-3,1,0,1,1,0,0,0,1,1,0,0,0,0.0
abeldar,7,0,0,0,3,0,3,0,4,4,-7,1,0,1,2,0,0,1,0,0,0,0,0,0.0
abellacado,10,0,0,0,5,0,5,1,5,7,1,1,1,1,3,1,0,0,0,0,0,0,0,0.0
abellacar,9,0,0,0,4,0,4,1,5,6,-8,1,0,1,3,0,0,1,0,0,0,0,0,0.0
abellota,8,0,0,0,4,0,4,1,4,5,0,1,1,1,2,1,0,0,0,0,0,0,0,0.0
abellotado,10,0,0,0,5,0,5,1,5,7,1,1,1,1,2,2,0,0,0,0,0,0,0,0.0
abelmosco,9,0,0,0,4,0,4,0,5,4,-6,1,1,1,1,2,1,0,0,0,1,0,0,0.0
abemoladamente,14,0,0,0,7,0,7,0,7,11,-5,1,1,3,3,1,0,0,1,0,2,0,0,0.0
abemolar,8,0,0,0,4,0,4,0,4,7,-4,1,0,1,2,1,0,1,0,0,1,0,0,0.0
abencerraje,11,0,0,0,5,0,5,1,6,6,-5,1,1,3,2,0,0,2,1,1,0,0,0,0.0
abenuz,6,0,0,0,3,1,2,0,3,5,-3,1,0,1,1,0,0,0,1,0,0,0,0,0.0
aberenjenado,12,0,0,0,6,0,6,0,6,9,0,1,1,3,2,1,0,1,2,1,0,0,0,0.0
aberración,10,1,0,1,5,1,4,1,5,5,-1,1,0,1,2,0,0,2,1,0,0,0,0,0.0
aberrante,9,0,0,0,4,0,4,1,5,4,-6,1,1,2,2,0,0,2,1,0,0,0,0,0.0
aberrar,7,0,0,0,3,0,3,1,4,4,-7,1,0,1,2,0,0,3,0,0,0,0,0,0.0
abertal,7,0,0,0,3,0,3,0,4,4,-7,1,0,1,2,0,0,1,0,0,0,0,0,0.0
abertura,8,0,0,0,4,1,3,0,4,5,0,1,1,1,2,0,0,2,0,0,0,0,0,0.0
aberzale,8,0,0,0,4,0,4,0,4,5,0,1,1,2,2,0,0,1,0,0,0,0,0,0.0
abesana,7,0,0,0,4,0,4,0,3,6,3,1,1,1,3,0,1,0,1,0,0,0,0,0.0
abestiado,9,0,0,0,5,1,4,0,4,4,6,1,1,1,2,1,1,0,0,0,0,0,0,0.0
abestializado,13,0,0,0,7,2,5,0,6,8,8,1,1,1,3,1,1,0,0,0,0,0,0,0.0
abesón,6,1,0,1,3,0,3,0,3,5,-3,1,0,1,1,0,1,0,1,0,0,0,0,0.0
abetal,6,0,0,0,3,0,3,0,3,5,-3,1,0,1,2,0,0,0,0,0,0,0,0,0.0
abetar,6,0,0,0,3,0,3,0,3,5,-3,1,0,1,2,0,0,1,0,0,0,0,0,0.0
abete,5,0,0,0,3,0,3,0,2,4,2,1,1,2,1,0,0,0,0,0,0,0,0,0.0
abetinote,9,0,0,0,5,1,4,0,4,8,4,1,1,2,1,1,0,0,1,0,0,0,0,0.0
abeto,5,0,0,0,3,0,3,0,2,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0.0
abetuna,7,0,0,0,4,1,3,0,3,6,3,1,1,1,2,0,0,0,1,0,0,0,0,0.0
abetunado,9,0,0,0,5,1,4,0,4,8,4,1,1,1,2,1,0,0,1,0,0,0,0,0.0
abetunar,8,0,0,0,4,1,3,0,4,7,-4,1,0,1,2,0,0,1,1,0,0,0,0,0.0
abey,4,0,0,0,2,0,2,0,2,3,-2,1,0,1,1,0,0,0,0,0,0,0,0,0.0
abia,4,0,0,0,3,1,2,0,1,1,4,1,1,0,2,0,0,0,0,0,0,0,0,0.0
abiar,5,0,0,0,3,1,2,0,2,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0.0
abibollo,8,0,0,0,4,1,3,1,4,5,-2,1,1,0,1,2,0,0,0,0,0,0,0,0.0
abicharse,9,0,0,0,4,1,3,0,5,4,-6,1,1,1,2,0,1,1,0,0,0,0,0,0.0
abierta,7,0,0,0,4,1,3,0,3,2,1,1,1,1,2,0,0,1,0,0,0,0,0,0.0
abiertamente,12,0,0,0,6,1,5,0,6,5,-6,1,1,3,2,0,0,1,1,0,1,0,0,0.0
abierto,7,0,0,0,4,1,3,0,3,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0.0
abiete,6,0,0,0,4,1,3,0,2,3,5,1,1,2,1,0,0,0,0,0,0,0,0,0.0
abietino,8,0,0,0,5,2,3,0,3,5,6,1,1,1,1,1,0,0,1,0,0,0,0,0.0
abietáceo,9,1,0,1,6,1,5,0,3,4,14,1,1,2,1,1,0,0,0,0,0,0,0,0.0
abietíneo,9,1,0,1,6,2,4,0,3,4,14,1,1,2,1,1,0,0,1,0,0,0,0,0.0
abigarrado,10,0,0,0,5,1,4,1,5,7,-1,1,1,0,3,1,0,2,0,0,0,0,0,0.0
abigarramiento,14,0,0,0,7,2,5,1,7,7,-1,1,1,1,3,1,0,2,1,0,1,0,0,0.0
abigarrar,9,0,0,0,4,1,3,1,5,6,-10,1,0,0,3,0,0,3,0,0,0,0,0,0.0
abigeato,8,0,0,0,5,1,4,0,3,5,8,1,1,1,2,1,0,0,0,0,0,0,0,0.0
abigeo,6,0,0,0,4,1,3,0,2,3,7,1,1,1,1,1,0,0,0,0,0,0,0,0.0
abigotado,9,0,0,0,5,1,4,0,4,8,4,1,1,0,2,2,0,0,0,0,0,0,0,0.0
abinar,6,0,0,0,3,1,2,0,3,5,-3,1,0,0,2,0,0,1,1,0,0,0,0,0.0
abintestato,11,0,0,0,5,1,4,0,6,6,-5,1,1,1,2,1,1,0,1,0,0,0,0,0.0
abiogénesis,11,1,1,0,6,2,4,0,5,8,-3,1,0,1,1,1,2,0,1,0,0,0,0,0.0
abipón,6,1,0,1,3,1,2,0,3,5,-3,1,0,0,1,0,0,0,1,0,0,0,0,0.0
abisagrar,9,0,0,0,4,1,3,0,5,6,-10,1,0,0,3,0,1,2,0,0,0,0,0,0.0
abisal,6,0,0,0,3,1,2,0,3,5,-3,1,0,0,2,0,1,0,0,0,0,0,0,0.0
abiselar,8,0,0,0,4,1,3,0,4,7,-4,1,0,1,2,0,1,1,0,0,0,0,0,0.0
abisinio,8,0,0,0,5,3,2,0,3,5,10,1,1,0,1,1,1,0,1,0,0,0,0,0.0
abismado,8,0,0,0,4,1,3,0,4,5,0,1,1,0,2,1,1,0,0,0,1,0,0,0.0
abismal,7,0,0,0,3,1,2,0,4,4,-7,1,0,0,2,0,1,0,0,0,1,0,0,0.0
abismar,7,0,0,0,3,1,2,0,4,4,-7,1,0,0,2,0,1,1,0,0,1,0,0,0.0
abismo,6,0,0,0,3,1,2,0,3,3,-1,1,1,0,1,1,1,0,0,0,1,0,0,0.0
abismático,10,1,1,0,5,2,3,0,5,7,1,1,1,0,1,1,1,0,0,0,1,0,0,0.0
abiso,5,0,0,0,3,1,2,0,2,4,2,1,1,0,1,1,1,0,0,0,0,0,0,0.0
abita,5,0,0,0,3,1,2,0,2,4,2,1,1,0,2,0,0,0,0,0,0,0,0,0.0
abitadura,9,0,0,0,5,2,3,0,4,8,4,1,1,0,3,0,0,1,0,0,0,0,0,0.0
abitaque,8,0,0,0,5,2,3,0,3,5,10,1,1,1,2,0,0,0,0,0,0,0,0,0.0
abitar,6,0,0,0,3,1,2,0,3,5,-3,1,0,0,2,0,0,1,0,0,0,0,0,0.0
abitón,6,1,0,1,3,1,2,0,3,5,-3,1,0,0,1,0,0,0,1,0,0,0,0,0.0
abizcochado,11,0,0,0,5,1,4,0,6,6,-5,1,1,0,2,2,0,0,0,0,0,0,0,0.0
abiótico,8,1,1,0,5,2,3,0,3,5,6,1,1,0,1,1,0,0,0,0,0,0,0,0.0
abjuración,10,1,0,1,5,2,3,0,5,5,1,1,0,0,2,0,0,1,1,1,0,0,0,0.0
abjurar,7,0,0,0,3,1,2,0,4,4,-5,1,0,0,2,0,0,2,0,1,0,0,0,0.0
ablación,8,1,0,1,4,1,3,0,4,3,0,1,0,0,2,0,0,0,1,0,0,0,0,0.0
ablandabrevas,13,0,0,0,5,0,5,0,8,6,-20,1,0,1,4,0,1,1,1,0,0,0,0,0.0
ablandador,10,0,0,0,4,0,4,0,6,5,-11,1,0,0,3,1,0,1,1,0,0,0,0,0.0
ablandahígos,12,1,0,1,5,1,4,0,7,7,-12,1,0,0,3,1,1,0,1,0,0,0,0,0.0
